title,publisher,language,rating,weight_ounces,weight
Atomic Habits,Avery,English,4.8,12.3,light
The Seven Husbands of Evelyn Hugo,Washington Square Press,English,4.6,10.9,light
It Ends With Us,Atria,English,4.7,10.4,light
Reminders of Him,Montlake,English,4.7,11.2,light
Little Blue Truck's Valentine,Clarion Books,English,4.9,17.9,heavy
Verity,Grand Central Publishing,English,4.6,9.6,light
Life Force: How New Breakthroughs in Precision Medicine Can Transform the Quality of Your Life & Those You Love,Simon & Schuster,English,4.4,28.8,heavy
